CASE_NUMBER,BLOCK,COMMUNITY_AREA,LOCATION_DESCRIPTION
JF167335,6000 N KENMORE AVE,EDGEWATER,APARTMENT
JB114490,900 W 114TH PL,MORGAN PARK,RESIDENCE
JF293080,2100 W 36TH ST,MCKINLEY PARK,STREET
JG150300,400 E 83RD ST,CHATHAM,RESTAURANT
JG147400,7400 S COLFAX AVE,SOUTH SHORE,APARTMENT
JG155527,4700 N LAWNDALE AVE,ALBANY PARK,APARTMENT
HZ447259,7700 S PAULINA ST,AUBURN GRESHAM,STREET
JG214225,4400 W WEST END AVE,WEST GARFIELD PARK,STREET
JC293192,6400 S TALMAN AVE,CHICAGO LAWN,OTHER (SPECIFY)
JD204846,5400 W HIRSCH ST,AUSTIN,STREET
JD382340,1500 N LONG AVE,AUSTIN,STREET
JF234861,1200 W 73RD ST,WEST ENGLEWOOD,STREET
JF400429,3600 S KEDZIE AVE,BRIGHTON PARK,STREET
JE309682,1600 N CLARK ST,LINCOLN PARK,STREET
JF505958,1600 W DIVISION ST,WEST TOWN,SIDEWALK
JE281830,6200 S ARTESIAN AVE,CHICAGO LAWN,STREET
JG123894,1600 N MEADE AVE,AUSTIN,STREET
JC213016,2700 S INDIANA AVE,DOUGLAS,SIDEWALK
JE240540,2000 N LARAMIE AVE,BELMONT CRAGIN,STREET
JE285535,7100 S YATES BLVD,SOUTH SHORE,STREET
JG120299,4700 S WOLCOTT AVE,NEW CITY,SIDEWALK
HY546459,5600 S MAY ST,ENGLEWOOD,SIDEWALK
JG196983,5300 W DIVISION ST,AUSTIN,APARTMENT
HY546283,800 S CALIFORNIA AVE,EAST GARFIELD PARK,STREET
HY547693,1100 N LECLAIRE AVE,AUSTIN,STREET
JG230817,2300 E 80TH ST,SOUTH CHICAGO,STREET
JG134757,7900 S ASHLAND AVE,AUBURN GRESHAM,STREET
JG231396,4400 W GLADYS AVE,WEST GARFIELD PARK,STREET
JG230371,2300 E 75TH ST,SOUTH SHORE,GAS STATION
JF482140,5800 W AUGUSTA BLVD,AUSTIN,PARKING LOT
JG162725,7200 S WOODLAWN AVE,GREATER GRAND CROSSING,RESIDENCE
JG148375,8400 S WABASH AVE,CHATHAM,ALLEY
JF429688,800 E 89TH PL,CHATHAM,VEHICLE NON-COMMERCIAL
JG231191,4400 S WOLCOTT AVE,NEW CITY,SIDEWALK
JG222030,5600 S RACINE AVE,WEST ENGLEWOOD,STREET
JG222358,2500 S TROY ST,SOUTH LAWNDALE,YARD
JG222447,6600 S HARTWELL AVE,GREATER GRAND CROSSING,HOUSE
JG133011,3600 W BELMONT AVE,AVONDALE,STREET
JG164682,100 E 95TH ST,ROSELAND,STREET
JF437318,400 W ONTARIO ST,NEAR NORTH SIDE,STREET
JG116382,300 S CICERO AVE,AUSTIN,STREET
JG230267,4200 S DR MARTIN LUTHER KING JR DR,GRAND BOULEVARD,RESIDENCE
JG222223,1400 S MORGAN ST,NEAR WEST SIDE,STREET
JG151742,1600 W HOWARD ST,ROGERS PARK,STREET
JG230248,2900 S STATE ST,DOUGLAS,CHA APARTMENT
JG222113,6000 W HIGGINS AVE,JEFFERSON PARK,SIDEWALK
D183778,8800 S WABASH AVE,CHATHAM,AUTO
JG165073,1900 N LAWNDALE AVE,LOGAN SQUARE,STREET
HY548968,300 E 132ND ST,RIVERDALE,STREET
HY549519,4700 S LOOMIS BLVD,NEW CITY,STREET
HY549568,1600 W 44TH ST,NEW CITY,STREET
HY549899,7000 S CORNELL AVE,SOUTH SHORE,SIDEWALK
HY549933,3100 W 58TH ST,GAGE PARK,APARTMENT
HY549948,2000 N KEYSTONE AVE,HERMOSA,STREET
JG149468,1700 W GREENLEAF AVE,ROGERS PARK,STREET
JG149469,1300 S MORGAN ST,NEAR WEST SIDE,STREET
JD320760,0 E OAK ST,NEAR NORTH SIDE,STREET
JG123720,300 N HAMLIN AVE,WEST GARFIELD PARK,PORCH
JD189162,1400 S ST LOUIS AVE,NORTH LAWNDALE,STREET
JD202329,1600 S HOMAN AVE,NORTH LAWNDALE,APARTMENT
JG149503,1800 S BLUE ISLAND AVE,LOWER WEST SIDE,PARKING LOT
JE188606,7000 S KIMBARK AVE,GREATER GRAND CROSSING,APARTMENT
JG231172,1300 S KEDZIE AVE,NORTH LAWNDALE,APARTMENT
HZ448232,600 S LOTUS AVE,AUSTIN,STREET
JC321957,7500 S STEWART AVE,GREATER GRAND CROSSING,SIDEWALK
JG232072,4500 S HONORE ST,NEW CITY,RESIDENCE - YARD (FRONT / BACK)
JG232216,7700 S EAST END AVE,SOUTH SHORE,APARTMENT
JE316409,7300 S KENWOOD AVE,SOUTH SHORE,STREET
JE243789,6600 S EVANS AVE,WOODLAWN,STREET
JE258648,2400 W LITHUANIAN PLAZA CT,CHICAGO LAWN,STREET
JE260193,5300 S MORGAN ST,NEW CITY,STREET
JG232690,3800 W FLOURNOY ST,WEST GARFIELD PARK,STREET
JG231613,2400 S ST LOUIS AVE,SOUTH LAWNDALE,STREET
JG232109,400 W 77TH ST,GREATER GRAND CROSSING,APARTMENT
JG232335,10200 S HALSTED ST,WASHINGTON HEIGHTS,STREET
JF492185,9400 S WENTWORTH AVE,ROSELAND,STREET
JG101589,8000 S STEWART AVE,CHATHAM,STREET
JG153235,1300 S WABASH AVE,NEAR SOUTH SIDE,APARTMENT
JG190624,2400 E 72ND ST,SOUTH SHORE,RESTAURANT
JG141147,3300 S HALSTED ST,BRIDGEPORT,SIDEWALK
JG166032,1700 W 18TH PL,LOWER WEST SIDE,VEHICLE NON-COMMERCIAL
JG166017,3400 W 79TH ST,ASHBURN,OFFICE
