TIME_ID;UNIQUE_ID;CASE_NUMBER;DATE;MONTH;DAY_OF_WEEK;HOUR
1;HOM-JF167335-#1;JF167335;2022-03-08;3;3;15
2;SHOOT-JB114490-#1;JB114490;2018-01-13;1;7;1
3;HOM-JF293080-#1;JF293080;2022-06-25;6;7;0
4;HOM-JG150300-#1;JG150300;2023-02-12;2;1;17
5;HOM-JG147400-#1;JG147400;2023-02-10;2;6;10
6;HOM-JG155527-#1;JG155527;2023-02-16;2;5;16
7;SHOOT-HZ447259-#1;HZ447259;2016-09-24;9;7;2
8;HOM-JG214225-#2;JG214225;2023-04-07;4;6;12
9;SHOOT-JC293192-#1;JC293192;2019-06-05;6;4;13
10;SHOOT-JD204846-#1;JD204846;2020-04-08;4;4;14
11;SHOOT-JD382340-#1;JD382340;2020-09-28;9;2;17
12;HOM-JF234861-#1;JF234861;2022-05-08;5;1;20
13;SHOOT-JF400429-#1;JF400429;2022-09-18;9;1;2
14;SHOOT-JE309682-#1;JE309682;2021-07-21;7;4;23
15;SHOOT-JF505958-#1;JF505958;2022-12-11;12;1;1
16;SHOOT-JE281830-#6;JE281830;2021-06-27;6;1;22
17;SHOOT-JG123894-#1;JG123894;2023-01-21;1;7;3
18;SHOOT-JC213016-#1;JC213016;2019-04-05;4;6;17
19;SHOOT-JE240540-#1;JE240540;2021-05-24;5;2;0
20;SHOOT-JE285535-#1;JE285535;2021-07-01;7;5;2
21;SHOOT-JG120299-#1;JG120299;2023-01-18;1;4;6
22;SHOOT-HY546459-#1;HY546459;2015-12-22;12;3;13
23;HOM-JG196983-#2;JG196983;2023-03-24;3;6;8
24;SHOOT-HY546283-#1;HY546283;2015-12-22;12;3;10
25;SHOOT-HY547693-#1;HY547693;2015-12-23;12;4;14
26;HOM-JG230817-#1;JG230817;2023-04-20;4;5;12
27;SHOOT-JG134757-#1;JG134757;2023-01-30;1;2;13
28;SHOOT-JG231396-#1;JG231396;2023-04-20;4;5;19
29;SHOOT-JG230371-#1;JG230371;2023-04-20;4;5;5
30;SHOOT-JF482140-#1;JF482140;2022-11-20;11;1;23
31;SHOOT-JG162725-#1;JG162725;2023-02-23;2;5;8
32;HOM-JG148375-#1;JG148375;2023-02-11;2;7;2
33;SHOOT-JF429688-#1;JF429688;2022-10-10;10;2;16
34;SHOOT-JG231191-#1;JG231191;2023-04-20;4;5;16
35;HOM-JG222030-#1;JG222030;2023-04-13;4;5;16
36;HOM-JG222358-#1;JG222358;2023-04-13;4;5;19
37;HOM-JG222447-#1;JG222447;2023-04-13;4;5;21
38;SHOOT-JG133011-#1;JG133011;2023-01-28;1;7;17
39;SHOOT-JG164682-#1;JG164682;2023-02-24;2;6;18
